job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,duration
0847feab-673d-383a-a7fc-93ca98105b90,253725,33428,resnet50,266697,128,1,9145
c6406b52-cdef-eef2-09c3-9ca741b419ca,253725,16938,resnet50,262735,256,1,9189
1c21515b-fb11-4dc5-d6bb-889f0a278efa,253725,11458,deepspeech2,263221,64,1,7162
e47ad260-dd7b-0534-5f5a-04d9d5094d65,253725,33315,resnet50,267206,128,1,9114
ebefeeb8-5780-9964-fbb7-ce92f2e31228,253726,19688,inception3,259721,128,1,7684
991e0704-733b-e7cb-fda8-547410a7b21c,256255,6545,bert,258873,128,1,1831
810755e0-7b49-0ffb-3d9a-712920657718,256549,488064,vgg16,280897,128,16,27025
1ccadd5e-1ad3-31ce-20fb-f03af1440d84,256670,216440,deepspeech2,293300,64,8,29224
77d5415f-be59-d254-61da-969f5f4dc37c,256682,397825,vgg16,277436,128,8,29310
e40f9e2c-915a-a857-c48f-b0dbd3cc74d6,256690,303016,resnet50,277762,256,8,29196
8f57c122-f50a-82e8-03ec-608b5ae9d2b3,256701,390941,inception3,274599,64,8,29191
2d81791b-e32a-60ac-0f10-9a9fc6ab385e,257052,480961,resnet50,277542,128,8,29089
cc8c1dae-f3e3-3093-45be-06f83fbf7901,257061,395463,vgg16,293752,128,8,29136
1993644b-0f4d-626e-0d35-8bc380863f67,257072,561918,vgg16,275461,64,8,29070
843efe2f-3441-8d4c-0445-50e71e42ee2d,257084,232927,vgg16,279871,256,8,29129
22e80727-2939-7928-a20b-d29915084a54,260683,39911,deepspeech2,280919,64,1,24946
ac33479f-bfbe-7683-9fc7-d097a718c8be,260683,127381,vgg16,293685,64,1,25209
58e0320d-7a10-9307-47b5-8bb58a9faf2f,260683,127699,vgg16,293555,64,1,25272
9c012c23-63a5-4599-5cd1-f29335b1d7d4,260684,120530,inception3,286977,64,1,25003
c2e02128-73dc-e0e0-6657-00be80c48989,260684,102777,gpt2,290603,256,1,25084
db02a68c-cfe0-6ac9-cf70-b5e78d394846,260684,89923,bert,282818,128,1,25154
342edbc9-4cf7-c3c7-756c-0fcc1431528a,260684,76132,deepspeech2,297029,32,1,25183
4b80a6b7-1130-e6dc-a248-b16068711af7,260684,33138,vgg16,279212,256,1,25226
44299108-ac07-2eea-8b57-22df2bfee718,260685,103031,gpt2,294839,256,1,25146
4f8ac775-2364-f175-e0ff-7f11fd962c30,260685,66666,vgg16,277405,128,1,25399
8b869e30-c202-1b52-6f3f-3f763fed3d79,260686,46469,resnet50,288956,256,1,25209
40f3de91-eb14-2767-568b-e1db4fbe5bf9,260687,127613,vgg16,290375,64,1,25255
75ad231b-95de-12d5-d899-38bb1206994d,260687,151990,bert,296119,64,1,25203
b3d83b46-f510-3177-5e33-afef385e1055,260687,121485,inception3,288384,64,1,25201
3be311ae-b69b-72a1-b5a6-de72c0e16f34,260687,76107,deepspeech2,296177,32,1,25175
4c0476a9-64e6-d715-3999-76785013c8aa,260687,66149,vgg16,296572,128,1,25202
31c79faf-fb14-dc56-a010-e9b7e254b249,260687,64359,inception3,284047,128,1,25118
34641786-f88f-27d7-1ec0-9b51d8241de8,260688,152666,bert,282028,64,1,25315
381c4c97-5aa6-bcdb-bc7f-8a4b7c7ff8af,260689,171888,resnet50,273282,64,1,25119
67a4fdb6-60dc-3d2b-994f-e7dc4733f442,260690,122140,inception3,276346,64,1,25337
4928654c-e884-42c0-6c3d-7a287f12bba4,260691,90467,bert,288758,128,1,25306
97b87e38-4bf5-843d-1cb4-c9940984258c,260691,122738,inception3,279512,64,1,25461
e1112ae6-c261-72af-27db-dc47e99be1d8,260692,33122,vgg16,281806,256,1,25214
55e12049-309e-0fc4-193d-15df6f4228d8,260692,172538,resnet50,277028,64,1,25214
4a4ef6c1-acd5-b138-4b92-71283186bbb9,260693,126881,vgg16,295468,64,1,25110
1851408c-2512-4d94-ca1f-8f77719cec78,260806,16907,resnet50,267978,256,1,9172
c36901a4-6004-e429-bc27-faeb687ac02d,260806,27749,deepspeech2,266857,32,1,9179
688a74d4-a5dd-6a5c-c39d-06fea490e9d1,260807,16839,resnet50,272023,256,1,9135
fd2dd4e4-f17a-5c4e-44b3-725c567d8eb7,260807,45921,vgg16,265453,64,1,9088
545eaa79-db9a-437a-6049-1fed86ab5a4c,260807,12037,vgg16,267868,256,1,9163
2ff9632f-bb00-2c76-2078-1f1f388fa2ed,260807,16566,resnet50,265742,256,1,8987
0f962dde-4b1b-e774-9519-fd53586126fe,260808,55017,bert,267023,64,1,9123
90bc5076-5462-a3e4-849a-cf50655214af,260808,27287,deepspeech2,273833,32,1,9026
96de8576-09a7-c5f9-b8ee-05310e8eaab3,260810,37199,gpt2,268732,256,1,9079
ea9bd048-c7df-297c-9886-3fe176d5e948,260810,46189,vgg16,273060,64,1,9141
cc193642-3b89-aa26-7d10-098b63c3ee60,260810,66956,gpt2,271395,128,1,9161
3c66d01d-6bfd-1434-9143-3111af1136c2,260810,62127,resnet50,269814,64,1,9079
51dcf909-d0d8-fc66-2ab5-b654e5b0bf55,260811,23452,inception3,272467,128,1,9153
bbb089e8-11b6-23ce-bb53-1aee0a2fe221,260811,24111,vgg16,268267,128,1,9186
0590e87c-2ff8-7c17-ded0-1a38e7b62d67,260811,54939,bert,271840,64,1,9110
e090bbf2-f4d7-800a-62a7-5b42859ce128,260812,46204,vgg16,269138,64,1,9144
6dde5358-0b49-9144-02b7-50d6a743fe00,260812,37298,gpt2,265787,256,1,9103
abeef75a-1682-8ce9-ba98-f8198b503a2b,260812,62038,resnet50,265629,64,1,9066
57178768-33fc-fd7d-f605-aa9c2de75a92,260813,32692,bert,270246,128,1,9145
82db34f3-52c3-c305-b822-78411d222845,260814,32381,bert,271320,128,1,9058
788e7872-41d8-c57c-a923-d32680f7e737,260814,54969,bert,265729,64,1,9115
d55fe520-572a-1c96-f393-94bee5e8f2d9,260814,32753,bert,266647,128,1,9162
65cbb014-763c-2109-683e-68ebb8235d5e,260815,10041,bert,264725,128,1,2809
cafac4f2-d3b8-242b-efd6-fcccd5bc5ae0,260815,14198,vgg16,263846,64,1,2810
cb58cbef-43b9-1c43-63f9-02bc90c432df,260816,14163,vgg16,263842,64,1,2803
